device,temperature,vds,vth,dvth_dt
pmos,185.0,0.2,-0.7378554545454545,0.00029828387445887325
pmos,220.0,0.2,-0.7275313636363637,0.0003118652876820138
pmos,295.0,0.2,-0.7014267999999999,0.0003480608484848509
pmos,85.0,0.3,-0.7615477272727272,0.0002114999999999978
pmos,115.0,0.3,-0.7552027272727273,0.00016099388429752226
pmos,140.0,0.3,-0.7522300909090909,0.00019646303030303267
pmos,185.0,0.3,-0.737107090909091,0.0002419704004329032
pmos,220.0,0.3,-0.7311996363636364,0.00025371819519874085
pmos,295.0,0.3,-0.6985207,0.00043571915151515187
pmos,85.0,0.4,-0.7592918181818181,0.00014266363636363799
pmos,115.0,0.4,-0.755011909090909,0.0001858229752066086
pmos,140.0,0.4,-0.7494671818181818,0.00027949139971139656
pmos,185.0,0.4,-0.7322161818181818,0.00026314873737373796
pmos,220.0,0.4,-0.7262782727272727,0.00026329028650137667
pmos,295.0,0.4,-0.6914829,0.0004639383030303031
pmos,85.0,0.5,-0.7583123636363637,0.00029025151515151465
pmos,115.0,0.5,-0.7496048181818182,0.00023115168044077206
pmos,140.0,0.5,-0.7450572727272727,0.00024669878787879004
pmos,185.0,0.5,-0.7287072727272726,0.00038115752164502234
pmos,220.0,0.5,-0.7148815454545455,0.00040803648170011347
pmos,295.0,0.5,-0.6821870000000001,0.00043592727272727226
pmos,85.0,0.6,-0.7520773636363636,0.00022826363636363478
pmos,115.0,0.6,-0.7452294545454545,0.0001864550413223122
pmos,140.0,0.6,-0.7414390909090909,0.0002648380663780661
pmos,185.0,0.6,-0.7203502727272727,0.0004826305014430012
pmos,220.0,0.6,-0.7030773636363636,0.00048611963321526855
pmos,295.0,0.6,-0.6678064,0.0004702795151515149
pmos,85.0,0.7,-0.7415285454545455,0.00028691212121212395
pmos,115.0,0.7,-0.7329211818181818,0.0003231028650137746
pmos,140.0,0.7,-0.7240896363636363,0.0003985557575757574
pmos,185.0,0.7,-0.7024858181818182,0.0005347851731601731
pmos,220.0,0.7,-0.6822792727272727,0.0005615634624163714
pmos,295.0,0.7,-0.6426959,0.0005277783030303033
pmos,85.0,0.8,-0.7274191818181819,0.000343845454545455
pmos,115.0,0.8,-0.7171038181818182,0.0003913327272727241
pmos,140.0,0.8,-0.7063311818181819,0.0004785726984126966
pmos,185.0,0.8,-0.6809343636363636,0.0005931300685425699
pmos,220.0,0.8,-0.659392,0.0006043660708382513
pmos,295.0,0.8,-0.6158533,0.000580515999999999
pmos,85.0,0.9,-0.7100135454545454,0.0004789666666666655
pmos,115.0,0.9,-0.6956445454545455,0.00046619344352617255
pmos,140.0,0.9,-0.6842558181818181,0.0005227786724386731
pmos,185.0,0.9,-0.6552851818181818,0.0006495105880230893
pmos,220.0,0.9,-0.6323966363636363,0.0006485627280598196
pmos,295.0,0.9,-0.5846216,0.0006370004848484845
pmos,85.0,1.0,-0.6873877272727272,0.0005742939393939365
pmos,115.0,1.0,-0.6701589090909091,0.0005851101377410475
pmos,140.0,1.0,-0.6553058181818181,0.0006420751515151535
pmos,185.0,1.0,-0.6225283636363637,0.0007090958333333345
pmos,220.0,1.0,-0.5982351818181818,0.0006956371184572998
pmos,295.0,1.0,-0.5458139,0.0006989504242424246
pmos,85.0,1.1,-0.6600684545454546,0.0007419666666666677
pmos,115.0,1.1,-0.6378094545454546,0.0007300344352617096
pmos,140.0,1.1,-0.6198071818181817,0.0007632380952380972
pmos,185.0,1.1,-0.5819665454545455,0.0007506507575757576
pmos,220.0,1.1,-0.5581506363636364,0.0007093511625344347
pmos,295.0,1.1,-0.5003052,0.000771272484848485
